x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,y
-4.9415,2.1575,24.3648,10.8064,-4.411,21.142,-4.5644,2.4352,26.5168,0.4068,15.8364,16.494,31.424,34.0298,11.256,-8.186,11.4717,17.2867,6.0575,22.4288,22.8787,-1.1985,36.8876,36.1261,17.3232,31.9712,3.135,14.4105,21.636,11.1304,39.2514,38.9299,26.2056,42.6605,25.5105,-7.1022,8.8675,25.9967,23.6248,19.4988,-5.056,4.1753,8.6653,4.5228,20.2193,24.828,-3.0352,17.8544,20.4104,-8.8248,-15.8636,9.093,5.264,29.0884,20.1344,13.0744,16.0252,23.0063,8.0371,3.09,0
-4.8155,2.7725,24.4056,10.7512,-4.3198,21.051,-4.7998,2.9264,27.7952,0.7515,15.9316,16.2705,32.026,36.3469,13.74,-5.936,12.0723,20.5527,17.56,37.0016,35.4892,8.8815,38.5616,31.4019,16.7784,32.93,9,14.5403,17.1913,0.0184,36.758,33.8336,22.2536,38.9051,24.3785,-11.0644,8.985,26.2032,22.456,18.0264,-5.436,6.1142,8.0836,3.4044,18.8774,25.0332,-1.9072,17.712,20.2412,-8.4792,-15.5864,9.1995,5.583,29.3808,20.1776,13.0944,16.0156,23.1932,8.0063,3.11,0
-4.8815,2.215,24.132,10.6,-4.3464,21.273,-4.4192,3.5328,27.6144,1.116,16.8649,16.8225,31.874,37.7511,16.454,-4.554,17.2803,28.7936,21.1775,39.0806,39.3154,11.6787,46.064,41.4828,17.4664,29.1632,-8.275,5.9152,14.2247,-5.3744,35.3335,32.3585,21.3736,38.5861,24.2445,-8.9722,7.455,24.1123,15.3736,16.3068,-6.914,4.9297,9.9211,3.9828,18.4238,24.7956,-1.1152,18.1072,20.2736,-8.3616,-15.6172,9.264,5.2794,29.1496,20.2352,13.0152,16.0354,23.1218,8.0413,3.08,0
-4.865,2.155,24.6072,11.1736,-2.7257,21.7945,-3.4688,3.5792,27.528,1.7055,18.2232,18.8205,34.073,37.0796,15.802,0.652,17.4462,17.6133,10.56,28.5954,26.4382,0.3198,40.5452,33.5823,16.8072,33.428,4.8625,13.4359,15.6053,0.088,37.766,36.9125,23.0752,39.9611,26.701,0.0742,8.645,23.4669,21.8416,22.3368,-1.98,8.3176,11.6095,6.6612,21.0677,25.884,-2.8504,17.8608,20.2628,-8.8368,-15.5886,9.0885,5.209,29.3298,20.192,13.1216,16.0948,23.1113,8.1323,3.255,0
-4.814,3.0825,25.4496,11.0776,-3.8657,21.1775,-4.4159,2.5488,27.6832,1.908,17.788,17.8515,33.026,35.4323,11.184,-5.22,16.6797,22.7607,17.8225,33.8578,31.1821,0.6054,37.0082,31.4893,17.1568,33.728,6.445,10.478,13.3329,-5.36,35.0871,35.0326,23.472,39.3902,24.512,-7.9602,12.7525,25.8903,26.1976,21.0216,-2.736,9.4446,11.9371,5.7576,19.4255,24.8688,-2.5096,17.5088,20.81,-8.5992,-15.8284,9.1245,5.1254,29.2958,20.4512,13.0432,16.0684,23.4116,8.1029,3.155,0
-4.553,3.5375,25.56,12.2104,-1.9315,22.147,-2.6064,5.2528,28.3344,0.7668,19.2092,20.4675,32.777,36.8042,16.474,-1.33,20.8398,24.4765,13.87,34.1526,27.2572,-4.8231,35.372,44.0795,19.4968,28.544,-9.0725,12.2743,19.4364,-0.92,37.6344,38.6582,24.6336,45.7779,26.9315,-1.3074,18.0375,26.0807,20.2216,18.7956,-3.382,9.6654,8.1046,5.2404,20.2613,25.9596,-0.9952,18.1968,20.8136,-8.8464,-15.6612,9.0465,5.3366,29.1207,20.5088,13.0608,16.0912,23.1029,8.14,3.1825,0
-4.472,2.29,24.4584,11.1256,-3.5997,21.5925,-3.1487,4.4656,28.3456,2.6208,18.9576,18.3555,32.47,34.652,16.982,-3.384,13.8279,19.0669,9.2325,29.0816,25.6318,4.0011,39.5372,30.8085,14.0488,29.7188,4.3625,12.6351,18.0805,9.784,38.151,35.0304,25.4,45.5667,26.9185,-0.3856,13.4725,26.2991,16.0048,22.3044,5.644,16.7471,14.2051,5.1636,21.9938,28.1088,1.5272,18.1024,20.3888,-7.8744,-15.0628,9.519,5.3476,29.2618,20.2616,13.0384,16.057,23.0315,8.0511,3.1675,0
-4.712,3.5175,24.9072,11.8576,-2.3628,21.4045,-4.3752,2.3504,27.6592,1.0674,17.1029,17.4015,33.52,39.6143,17.538,1.522,22.4946,29.617,20.8925,32.0252,30.3379,4.3602,43.1282,40.8388,16.624,28.8344,-5.5475,7.7027,9.9308,-9.5288,35.2712,35.9423,24.7808,40.1635,24.2475,-4.3038,21.13,28.8863,21.568,18.7596,3.192,17.6694,12.6889,4.7028,19.646,25.5456,-2.104,18.3264,20.936,-8.4816,-15.208,9.4965,5.2882,29.204,20.2592,13.0192,16.027,23.0777,8.0784,3.1875,0
-4.595,2.23,24.348,10.6672,-4.2172,21.3785,-3.8714,3.8208,27.2704,1.368,17.8475,17.055,31.361,34.2865,14.288,0.708,23.343,26.88,10.7325,27.0972,28.303,2.7033,39.4076,37.1979,18.5056,34.7828,8.5575,15.0826,18.6499,7.5664,39.9311,39.0872,25.3368,42.6913,26.1195,-3.8616,13.2875,26.6694,20.0176,16.8432,-4.994,7.6713,11.6347,5.1336,19.8413,25.6476,-2.2024,17.7552,20.585,-8.5704,-15.901,9.126,5.022,29.0306,20.1632,13.0312,16.072,23.2772,8.049,3.22,0
-4.811,2.3725,25.5384,14.1568,-0.1265,22.2795,-1.7583,8.576,33.9728,5.328,24.9144,23.1285,35.472,41.0338,19.962,3.97,26.4132,32.0297,23.5375,40.5986,40,10.3704,43.1102,35.581,15.6496,30.1064,-2.38,9.3681,10.1466,-5.276,35.4035,31.6457,22.0352,38.2099,23.1645,-13.5966,2.03,24.7122,20.6104,18.834,-2.898,4.9228,9.6586,4.6572,19.3856,24.6192,-3.8248,17.4448,20.6696,-8.7096,-15.6634,9.138,5.077,29.1666,20.2904,13.0048,16.1086,23.1974,8.0812,3.1575,0
-4.2905,3.2725,25.9656,13.0048,-1.6123,22.535,-1.6912,5.7792,32.128,3.3831,20.1357,19.3635,32.301,34.3987,13.164,-5.14,18.3954,27.7172,19.86,37.5318,36.4699,7.4073,44.5268,39.9487,15.2976,26.1152,-7.52,9.1668,14.8344,4.0744,39.2143,39.0608,26.1632,44.657,26.024,-4.108,14.9625,28.0953,28.0864,21.3792,-0.862,7.1193,10.4125,6.0324,20.9963,25.9716,-2.5504,17.3344,20.7848,-8.58,-15.7646,9.2895,5.2596,29.1088,20.1008,13.0432,16.0294,23.1722,8.0196,3.0675,0
-4.004,3.4375,26.0208,10.8928,-4.1298,21.3855,-4.1519,3.808,29.7648,1.6542,19.8773,21.1935,33.647,35.3728,15.68,-1.922,21.2577,29.6216,18.215,30.6876,25.8166,-4.7727,32.7476,26.8778,13.9872,26.2832,-8.54,10.1205,18.087,6.9376,39.5692,39.7791,25.372,43.6362,26.72,0.9718,21.28,30,34.0072,23.4732,4.606,16.5654,16.6978,7.3668,20.1332,25.4592,-0.8656,18.9168,21.0404,-8.436,-15.703,9.2115,5.418,29.0731,20.0864,13.0208,16.0144,23.3402,8.0763,3.1975,0
-4.8515,3.21,24.7176,10.7128,-3.7612,21.5385,-2.4007,5.816,26.12,1.6938,17.4752,17.838,33.176,34.278,14.338,-5.084,14.4369,20.4078,8.745,21.4432,22.0261,-6.5241,32.0024,27.1009,13.9808,26.084,-13.41,10.8916,18.2612,4.0984,37.3292,37.6165,25.7664,42.8574,25.8625,-0.4494,20.78,29.4764,36.3016,26.1564,8.99,21.1953,18.76,6.4056,26.2547,30.6084,6.3944,21.648,23.5658,-7.1304,-15.1288,9.2595,5.3278,29.1955,20.4848,13.1112,16.0174,23.336,8.0742,3.335,0
-4.8275,2.375,24.3264,10.1824,-4.5991,21.529,-3.8747,2.704,27.4896,0.6606,16.258,15.933,31.055,34.0111,13.442,-4.832,15.7872,22.7791,13.6075,29.2774,28.3429,-0.4425,34.9508,32.2276,15.5728,29.2616,2.88,15.4533,22,10.8016,39.7981,39.3281,25.8096,42.7672,25.84,-4.3346,12.31,25.5704,17.0056,16.0392,-7.708,7.3493,12.6343,6.4644,21.9161,26.0016,-1.564,18.912,21.2672,-8.5992,-15.7646,9.1365,5.0352,29.1428,20.1536,13.0208,16.0174,23.0777,8.049,3.1025,0
-4.5605,3.61,24.936,10.4152,-4.0956,21.408,-3.9077,2.504,27.1776,0.774,15.7038,15.708,30.835,33.5946,12.932,-8.382,11.4759,19.0117,11.315,27.1676,23.4331,-4.1658,35.0498,32.7957,15.6872,26.1272,-13.815,8.1482,16.2878,9.0256,39.6672,38.975,26.4384,46.3785,28,2.712,12.79,25.1259,18.6112,17.8584,-2.364,11.7883,10.3075,5.6736,20.3222,25.7196,-0.0784,18.8128,21.0206,-8.6808,-15.626,9.0525,5.1144,29.1411,20.1872,13.06,16.063,23.336,8.0665,3.0275,0
-4.6985,2.065,24.3312,10.1488,-4.7473,21.0755,-4.4049,2.336,26.808,0.9873,16.4297,16.413,31.204,32.714,10.062,-9.676,10.3104,18.8921,11.59,28.3886,27.0325,1.0044,40.3634,40.3029,18.94,33.5456,3.7525,14.1927,21.5203,12.0856,40.4652,40.7933,27.7664,46.6117,26.946,-5.3246,5.795,24.3671,16.2976,18.726,-1.42,12.4415,14.0455,6.5976,22.7708,26.4288,-1.4968,17.7248,20.6066,-8.7072,-15.8416,9.162,5.154,29.1071,20.072,13.0088,16.0042,23.0504,8.0399,3.11,0
-4.7735,2.8,25.4376,12.52,-2.7903,21.867,-3.1531,3.7904,27.4224,1.0845,16.4399,17.277,32.305,36.7481,16.808,-0.946,23.595,34.2561,25.885,36.5924,33.1456,6.0066,44.003,40.7123,17.5944,30.8516,-3.4,10.4186,15.4896,-1.0136,35.1417,31.4444,20.5096,39.2582,24.8045,-12.8948,0.19,24.0479,18.772,17.376,-2.65,8.4717,10.6036,4.8708,20.2676,24.5064,-2.8168,17.7616,20.3942,-8.8584,-15.8108,9.0915,5.033,29.1428,20.3072,13.0432,16.0066,23.0399,8.0161,3.155,0
-4.7345,2.75,24.6912,10.9456,-3.803,21.263,-4.2432,3.0128,26.9984,0.5517,17.856,20.214,34.561,40.8196,22.616,4.402,19.8213,22.7814,9.61,27.359,29.2165,4.9188,42.3002,44.1899,20,32.3,-2.0175,11.7892,20.2255,4.8208,37.339,36.4813,22.664,39.3836,24.438,-12.1028,0.985,23.4221,15.5176,15.7272,-5.94,5.2609,10.4503,5.2812,19.3247,26.3004,-0.4792,17.6272,20.6408,-8.352,-15.6304,9.153,5.2684,29.0748,20.18,13.0992,16.0594,23.1197,8.0224,3.0475,0
-4.85,2.6875,24.456,10.8904,-4.2096,21.1005,-4.6546,3.0416,29.0336,2.4012,20.7392,19.923,32.432,34.1556,12.556,-1.118,23.2695,30.2173,22.915,40.6822,39.6997,8.2053,39.4202,37.7062,17.6344,31.25,-5.7975,6.9921,11.6832,-1.5992,36.6537,33.2462,21.7816,39.6751,24.992,-5.8306,12.835,25.3464,19.5352,17.7336,-4.912,7.5678,8.7535,4.0896,19.898,26.3376,-1.0936,18.3488,21.0602,-8.4072,-15.7404,9.132,5.2288,29.0612,20.2112,13.0376,16.0702,23.042,8.0637,3.145,0
-4.7165,2.77,24.4728,11.4928,-4.848,21.3945,-3.416,4.3216,28.8624,2.2698,19.4319,20.565,33.906,36.5424,15.432,-1.634,23.6748,27.1859,8.565,25.7882,34.6933,6.2523,35.1074,29.4952,16.8424,30.0764,-3.5825,14.4776,19.8407,-1.1984,35.5876,32.9195,20.4056,37.7468,24.52,-13.9882,3.0125,24.4427,14.7616,15.2424,-5.724,6.6409,10.843,5.2632,19.1168,24.7956,-3.5608,17.6464,20.1944,-8.6568,-15.7998,9.057,5.2112,29.2414,20.456,13.112,16.0594,23.1932,8.0364,3.1875,0
-4.64,2.545,24.7776,11.3656,-4.373,21.2565,-4.0133,3.1408,26.9104,0.3501,18.2878,18.651,32.906,36.4302,17.622,-0.006,15.3315,22.4065,19.9775,36.0754,29.6113,0.3261,41.5766,41.7059,18.2248,33.7316,6.3225,14.8043,20.193,8.3512,37.878,33.6906,22.7672,37.7765,24.2335,-4.7592,10.7025,23.6853,16.7968,15.9012,-2.358,11.6135,12.5986,4.2936,19.9778,26.0244,-2.2288,18.0144,20.2592,-8.4576,-15.8658,9.243,5.3212,29.1581,20.2688,13.0752,16.0324,23.0399,8.0462,3.0575,0
-4.874,2.3825,24.6984,11.0368,-3.1931,21.376,-4.5446,2.4144,27.1072,1.5777,18.349,16.7505,31.683,33.3838,14.358,0.242,24.1851,31.8848,18.555,27.7022,26.8393,-3.4938,35.7968,39.9303,18.9384,32.8676,3.43,13.6482,16.3476,-2.276,36.4738,35.2515,22.696,37.8623,24.3135,-9.971,2.47,23.7336,17.0344,17.292,-6.652,5.1459,8.7976,4.1412,19.0706,25.1472,-2.9776,17.6512,20.1908,-8.5704,-15.8768,9.354,5.2508,29.2312,20.2808,13.048,16.0348,23.0651,8.0504,3.1125,0
-4.7075,2.5325,24.1392,10.456,-4.3939,21.2855,-3.8956,3.0688,27.1056,0.2178,16.2376,15.9585,33.002,38.5518,19.534,-0.796,15.6675,23.568,19.07,42,37.1251,1.9452,34.6808,36.6896,18.1856,30.2504,-5.0625,11.0357,15.136,3.964,36.6957,32.749,23.1128,41.8234,24.752,-7.144,9.1025,26.5217,28.54,21.5916,-1.904,7.6644,10.9522,4.014,19.7615,25.908,-2.6512,17.9872,20.6174,-8.112,-15.4258,9.2355,5.1628,29.4607,20.4872,13.0712,16.057,23.1995,8.0147,3.1325,0
-4.337,3.1925,24.1176,11.3944,-4.4718,21.339,-3.1696,4.384,27.5584,1.1412,16.8853,18.5625,32.007,35.638,12.218,-5.928,14.1828,29.3686,23.8625,38.1544,35.8357,9.8622,46.3952,42.5845,17.3008,26.8892,-10.865,11.2359,16.4438,0.7048,39.2724,39.36,24.148,40.532,25.78,-4.7482,2.34,25.6817,24.0664,20.196,-3.888,6.3718,14.3269,6.1908,18.9824,25.644,-0.7744,17.6656,21.2942,-7.4712,-15.538,9.306,5.4752,29.2295,20.132,13.0584,16.048,23.2205,8.0413,3.2625,0
-4.5335,3.2275,25.6608,11.9944,-4.8499,21.1,-3.9209,3.6256,29.24,0.6903,18.0039,18.8325,32.812,36.6274,16.454,-3.074,20.3295,32.1953,25.66,39.1422,35.1112,-2.7903,36.4664,36.8989,14.5424,27.1784,-0.605,13.8539,17.1757,0.9976,38.081,38.326,23.2992,37.386,24.2435,-6.7128,12.455,25.205,18.1336,17.2176,-5.642,8.3544,9.1315,3.8556,18.2915,24.9348,-2.1736,18.352,21.0656,-8.8368,-15.8042,9.1305,5.0704,29.221,20.4512,13.0808,16.1374,23.3822,8.0322,3.095,0
-4.691,2.33,25.2792,11.3656,-3.7707,21.716,-3.5216,5.2656,28.5136,1.4157,18.9559,17.6775,31.507,35.2572,14.122,-5.386,13.956,16.9877,12.53,32.8876,28.4437,1.2396,47,42.9525,15.7744,29.4092,-0.5075,12.8573,16.2865,-2.0528,35.7367,33.1131,21.1088,39.6575,24.4415,-9.8984,5.5175,24.428,18.7504,16.5828,-7.634,3.7682,8.5036,4.1712,18.6527,24.6264,-2.8,17.3696,20.3978,-8.6544,-15.3246,9.579,5.3234,29.0306,20.24,13.0768,16.0462,23.378,8.0763,3.175,0
-4.859,2.415,24.9552,10.8616,-3.7061,21.353,-3.878,3.4288,26.6096,1.1952,17.2151,15.4095,30.644,33.2104,12.408,-8.566,11.5704,19.4027,12.21,28.6196,29.3425,9.4653,46.2908,43.2078,17.524,31.3244,-1.815,12.194,19.1426,7.18,38.0852,37.9476,26.4864,45.9429,27.3235,-2.271,9.0675,24.659,19.444,19.3944,-2.466,8.06,13.2916,5.646,19.4423,24.762,-2.884,17.6752,20.3132,-8.5872,-15.7052,9.2115,5.4202,29.2465,20.156,13.1032,16.1302,23.1827,8.0539,3.305,0
-4.5005,2.5525,24.648,11.1544,-3.7099,21.4905,-4.0727,3.8752,27.2144,0.828,17.5075,15.783,31.119,33.649,12.348,-6.644,12.4482,16.7715,4.235,23.3968,26.3185,3.9066,45.4628,44.5372,18.9416,33.5264,5.3825,14.7163,22,8.9104,38.6207,37.0489,24.5728,43.5449,26.4125,-5.6876,5.875,23.9506,16.7224,18.1752,-5.012,7.3309,12.7666,4.9812,18.2075,24.834,-2.5648,17.7296,20.0378,-8.8368,-15.9208,9.033,5.0704,29.102,20.1296,13.0504,16.0858,23.2772,8.0357,3.1025,0
-4.8155,2.055,24.4704,10.4944,-4.658,21.246,-4.9637,2.6368,27.2656,0.4275,16.9584,15.78,31.192,35.3031,13.68,-5.846,13.1076,17.749,6.045,22.2374,21.8434,-2.3703,37.361,36.5838,17.4208,32.7428,5.485,15.1508,19.9031,6.3712,38.4044,36.6991,23.7032,41.7805,25.5735,-8.3562,2.1975,23.2877,15.0616,16.3572,-6.388,7.0411,12.5608,5.346,18.3776,24.696,-3.2344,17.4816,20.4896,-8.8224,-15.6722,9.1875,5.2948,29.0442,20.0912,13.0144,16.0678,23.1218,8.0329,3.1775,0
-4.8635,2.5325,24.4944,11.212,-3.7517,21.3975,-3.933,3.3952,27.1888,0.7533,17.6843,16.347,30.309,35.1552,15.938,-5.936,11.6544,17.8065,7.1525,24.6002,23.851,0.366,40.9412,38.9459,18.1304,32.8472,1.6225,13.316,18.7058,4.3288,37.3922,34.6608,24.2848,45.6151,27.2865,-2.2204,7.615,25.205,19.4848,18.1176,-3.516,11.2662,16.2022,5.952,18.5918,24.2244,-2.0872,18.1968,20.6606,-8.628,-15.34,9.168,5.2464,29.1734,20.0624,13.0776,16.0588,23.0903,8.0497,3.27,0
-4.898,2.58,25.2312,11.0656,-4.5269,21.3185,-4.5358,3.808,29.0576,2.2275,17.7302,16.383,32.398,37.474,18.59,-4.696,10.3986,17.3166,8.9325,25.709,24.2353,-0.8037,40.4912,41.4851,17.6208,31.2488,1.4925,14.4138,22,12.0904,40.2972,39.3325,25.5216,42.2546,25.198,-6.9988,6.3975,24.1109,17.0344,16.0104,-6.654,7.0342,12.7288,5.046,17.4074,24.2556,-3.1504,17.672,20.1674,-8.5104,-15.5622,9.2595,5.3586,29.0935,20.108,13.0544,16.0246,23.1092,8.1358,3.2625,0
-4.8605,2.4625,24.1344,10.1536,-4.506,21.229,-4.483,2.0912,26.68,0.576,16.5096,17.3985,31.541,36.7056,14.352,-4.402,16.3311,20.4952,9.1975,26.611,28.03,0.8364,37.136,34.5598,16.9736,30.8852,0.58,13.0531,20.0942,13,39.9136,37.9894,25.0464,42.8321,26.488,-4.0904,11.2225,25.5781,17.9032,16.7628,-4.56,6.3327,10.129,4.4532,19.4024,24.9492,-3.124,17.2432,20.153,-8.712,-15.9516,9.1035,5.1408,29.2193,20.2736,13.0432,16.0534,23.105,8.0406,3.0625,0
-4.6835,2.7975,24.996,10.6864,-4.7701,21.219,-3.5711,4.224,27.112,0.5112,16.4773,17.9025,31.478,35.1807,13.988,-3.434,23.4081,27.3722,9.25,23.8148,26.0623,2.7348,40.8656,39.1276,18.4792,33.6812,5.8625,13.6757,20.3425,11.5024,40.244,39.2588,25.4656,44.371,27.5085,5,21.8075,28.1716,27.196,19.8684,-2.962,8.3613,13.1551,5.7576,22.0211,26.292,-1.3696,17.48,20.3078,-8.0808,-15.8834,9.135,5.0924,29.2601,20.2544,13.016,16.063,23.1029,8.049,3.2,0
-4.8605,2.6725,24.5208,10.8136,-4.4205,21.586,-3.405,3.0208,27.184,1.224,18.6244,20.607,33.738,36.5441,14.666,0.734,24.3552,31.6157,18.6775,29.669,28.093,0.0846,38.9792,39.928,18.8712,33.7868,7.55,15.3411,21.1927,9.58,39.0988,38.37,26.0376,45.6503,27.9595,4.8284,22.5475,28.8716,28.852,20.7792,-3.166,7.0687,9.3856,3.8412,20.3138,26.3256,-1.3456,18.1088,20.3168,-8.508,-15.3202,9.318,5.2002,29.0952,20.2064,13.0736,16.042,23.2436,8.042,3.275,0
-4.6145,3.1175,24.9312,10.5736,-2.5015,21.6615,-3.2312,5.432,27.3552,0.5049,16.5147,16.2915,31.531,34.5908,13.698,-4.258,13.2189,20.3204,15.5425,24.7784,29.4538,2.0565,35.5646,36.2664,16.1288,29.858,-5.985,9.015,17.6905,9.7816,39.6364,35.4902,22.7032,41.6012,26.388,-0.9114,14.155,27.928,34.2376,25.7748,6.502,19.6681,23.2393,12.3144,29.6189,29.4168,3.4304,19.9744,21.7208,-8.5056,-15.5468,9.144,5.3366,29.1632,20.3144,13.1584,16.015,23.4179,8.1785,3.45,0
-4.388,3.6325,24.9528,11.4496,-4.0576,21.9085,-3.7042,3.6384,26.9328,1.9584,19.1803,19.998,33.087,36.4421,16.464,-2.538,17.8263,26.3372,20.655,38.0312,37.5535,8.4279,42.6962,40.4915,18.6936,33.686,3.13,11.4867,12.9481,-9.0248,35.9509,38.9651,26.4256,44.855,26.838,-0.5704,14.6325,24.211,19.9984,21.0036,1.44,14.0952,15.4084,7.6524,20.4671,24.5304,-2.4088,17.6688,20.855,-8.436,-15.8548,9.093,5.2838,29.3128,20.1656,13.1584,16.1194,23.2142,8.049,3.1375,0
